 aSCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
153,DC:A6:32:55:FC:3E,2020-07-16 22:25:30.461002,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-43
154,DC:A6:32:55:FC:3E,2020-07-16 22:25:31.289439,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-43
155,DC:A6:32:55:FC:3E,2020-07-16 22:25:32.497459,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-41
156,DC:A6:32:55:FC:3E,2020-07-16 22:25:33.051896,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-49
157,DC:A6:32:55:FC:3E,2020-07-16 22:25:34.511904,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
158,DC:A6:32:55:FC:3E,2020-07-16 22:25:35.038716,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
159,DC:A6:32:55:FC:3E,2020-07-16 22:25:37.043401,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-44
160,DC:A6:32:55:FC:3E,2020-07-16 22:25:38.270737,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-48
161,DC:A6:32:55:FC:3E,2020-07-16 22:25:39.303306,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
162,DC:A6:32:55:FC:3E,2020-07-16 22:25:40.069562,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
163,DC:A6:32:55:FC:3E,2020-07-16 22:25:41.170999,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-43
164,DC:A6:32:55:FC:3E,2020-07-16 22:25:42.092117,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-41
165,DC:A6:32:55:FC:3E,2020-07-16 22:25:43.129680,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
166,DC:A6:32:55:FC:3E,2020-07-16 22:25:44.009671,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-42
167,DC:A6:32:55:FC:3E,2020-07-16 22:25:45.030880,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-48
168,DC:A6:32:55:FC:3E,2020-07-16 22:25:46.130965,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
169,DC:A6:32:55:FC:3E,2020-07-16 22:25:47.291037,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-48
170,DC:A6:32:55:FC:3E,2020-07-16 22:25:48.074690,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
171,DC:A6:32:55:FC:3E,2020-07-16 22:25:49.139755,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-43
172,DC:A6:32:55:FC:3E,2020-07-16 22:25:50.422297,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
173,DC:A6:32:55:FC:3E,2020-07-16 22:25:51.003748,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-48
174,DC:A6:32:55:FC:3E,2020-07-16 22:25:52.459894,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
175,DC:A6:32:55:FC:3E,2020-07-16 22:25:53.102341,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-40
176,DC:A6:32:55:FC:3E,2020-07-16 22:25:55.071226,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-43
177,DC:A6:32:55:FC:3E,2020-07-16 22:25:56.036778,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-44
178,DC:A6:32:55:FC:3E,2020-07-16 22:25:57.376177,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-40
179,DC:A6:32:55:FC:3E,2020-07-16 22:25:58.051744,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-40
